date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:13	57847/57847	---M--	200	added ('OK')	image/jpeg	etag:%22e1f7-5bafc0f1412c1%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/pizza-a-moda-uma-das.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/pizza-a-moda-uma-das.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:13	129073/129073	---M--	200	added ('OK')	image/jpeg	etag:%221f831-5bafd8a950486%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/Pizza_frango_requeijao-1.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/Pizza_frango_requeijao-1.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:14	45214/45214	---M--	200	added ('OK')	image/jpeg	etag:%22b09e-5bafd8e15940e%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/creme-de-acai-classico.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/creme-de-acai-classico.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:14	5997/5997	---M--	200	added ('OK')	image/jpeg	etag:%22176d-5bafb56974fc2%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/coxinha.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/coxinha.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:14	54076/54076	---M--	200	added ('OK')	image/jpeg	etag:%22d33c-5bafb56bfd2da%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/enroladinho-frito-de-salsicha.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/enroladinho-frito-de-salsicha.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:14	8309/8309	---M--	200	added ('OK')	image/jpeg	etag:%222075-5bb173a6e845e%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/transferir-1.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/transferir-1.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:14	74583/74583	---M--	200	added ('OK')	image/jpeg	etag:%2212357-5bafb56852752%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/3d662c7a86c90d75887aa8e9c206abeb.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/3d662c7a86c90d75887aa8e9c206abeb.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:14	4078/4078	---M--	200	added ('OK')	image/jpeg	etag:%22fee-5bafb56d2ce3a%22	https://apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/transferir.jpg	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-content/uploads/2021/02/transferir.jpg	(from https://apresentacao.pegaocardapio.com.br/)
18:02:15	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Apr%202023%2021:02:15%20GMT	https://apresentacao.pegaocardapio.com.br/wp-admin	C:/Meus%20Sites/Plataforma/apresentacao.pegaocardapio.com.br/wp-admin	(from https://apresentacao.pegaocardapio.com.br/)
18:02:15	702644/702644	---M--	200	added ('OK')	image/jpeg	etag:%22ab8b4-60b7c360-e33a3908a374a419;;;%22	https://www.evcode.com.br/wp-content/uploads/2020/04/hamburguer_shutterstock.jpg	C:/Meus%20Sites/Plataforma/www.evcode.com.br/wp-content/uploads/2020/04/hamburguer_shutterstock.jpg	(from https://apresentacao.pegaocardapio.com.br/)
